GOterm,subgroup,Enrichment score
Synthetic biological process 01,Biological process,5.7
Synthetic biological process 02,Biological process,5.1
Synthetic biological process 03,Biological process,4.6
Synthetic biological process 04,Biological process,4.2
Synthetic biological process 05,Biological process,3.8
Synthetic biological process 06,Biological process,3.1
Synthetic cellular component 01,Cellular component,5.5
Synthetic cellular component 02,Cellular component,4.8
Synthetic cellular component 03,Cellular component,4.4
Synthetic cellular component 04,Cellular component,3.9
Synthetic cellular component 05,Cellular component,3.4
Synthetic cellular component 06,Cellular component,2.7
Synthetic molecular function 01,Molecular function,4.9
Synthetic molecular function 02,Molecular function,4.3
Synthetic molecular function 03,Molecular function,3.7
Synthetic molecular function 04,Molecular function,3.3
Synthetic molecular function 05,Molecular function,2.8
Synthetic molecular function 06,Molecular function,2.2
